"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"7017","1999-03-03 00:00:00","1999-02-01 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","148","418","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"D8103","","1999-05-27 00:00:00","1998-09-29 00:00:00","1999-04-07 00:00:00","0","0","190","190","","","","","","","0","0","0","0","","","","False",""
"D8075","","1999-05-27 00:00:00","1998-09-29 00:00:00","1999-04-07 00:00:00","0","0","190","190","","","","","","","0","0","0","0","","","","False",""
"D8077","","1999-05-27 00:00:00","1998-09-29 00:00:00","1999-04-08 00:00:00","0","0","191","191","","","","","","","0","0","0","0","","","","False",""
"7018","","1999-05-27 00:00:00","1998-09-29 00:00:00","1999-04-07 00:00:00","0","0","190","190","","","","","","","0","0","0","0","","","","False",""
"D8042","1999-01-02 00:00:00","1999-11-14 00:00:00","1999-03-19 00:00:00","1999-04-30 00:00:00","45.2","1.07619047619048","42","42","","","","","","1998-12-18 00:00:00","0","0","0","8.5","Monta Libre","1998-04-07 00:00:00","","False",""
"2816","1999-03-03 00:00:00","1999-11-14 00:00:00","1999-03-19 00:00:00","1999-04-30 00:00:00","43.8","1.04285714285714","42","42","","","","","","1998-12-18 00:00:00","641","911","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"2811","1999-03-03 00:00:00","1999-11-14 00:00:00","1999-03-19 00:00:00","1999-04-30 00:00:00","44.7","1.06428571428571","42","42","","","","","","1998-12-18 00:00:00","51","321","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"1549","1999-02-01 00:00:00","1999-11-27 00:00:00","1999-04-01 00:00:00","1999-04-30 00:00:00","55.6","1.91724137931034","29","29","","","","","","1998-12-18 00:00:00","129","399","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"3816","1999-03-03 00:00:00","1999-02-01 00:00:00","1998-05-14 00:00:00","1999-04-30 00:00:00","35.4","0.100854700854701","351","351","","","","","","1998-12-18 00:00:00","79","349","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
