"Madre","Serie","Padre","Nombre","Tipologia","Pesodestete","Fecha","Caso","fecs"
"8506","D8081","","","MAUTE","0","1995-06-28 00:00:00","PARTO","1997-08-13 00:00:00"
"2831","D8082","","ZAMURITA","VACA VACIA","0","1995-06-28 00:00:00","PARTO",""
"7511","D8083","","LOTERIA","VACA PREÑADA","0","1995-06-28 00:00:00","PARTO",""
"2855","D8084","","","VACA VACIA SIN CRIA","0","1995-06-28 00:00:00","PARTO",""
"9566","D8085","","","MAUTE","0","1995-06-30 00:00:00","PARTO","1997-09-15 00:00:00"
"7002","D8086","","PAÑUELITO","VACA PROD.VACIA","0","1995-07-04 00:00:00","PARTO",""
"2860","D8087","","MATA NEGRA","VACA PROD.VACIA","0","1995-07-04 00:00:00","PARTO",""
"2837","D8088","","VELO NEGRO","VACA VACIA","0","1995-07-06 00:00:00","PARTO",""
"7510","D8089","","","VACA PREÑADA","0","1995-07-16 00:00:00","PARTO","1999-03-17 00:00:00"
"9518","D8090","","","MAUTE","0","1995-07-16 00:00:00","PARTO","1997-09-15 00:00:00"
"2814","D8091","","","MAUTE","0","1995-07-18 00:00:00","PARTO","1999-03-08 00:00:00"
"2844","D8092","","","MAUTE","0","1995-07-18 00:00:00","PARTO","1997-09-15 00:00:00"
"2827","D8093","","","MAUTE","0","1995-07-20 00:00:00","PARTO","1998-04-14 00:00:00"
"2836","D8094","","","MAUTE","0","1995-07-23 00:00:00","PARTO","1999-03-08 00:00:00"
"2","D8095","","","BECERRO","0","1995-07-23 00:00:00","PARTO","1996-03-03 00:00:00"
"529","D8096","","PAN DE HORNO","VACA VACIA","0","1995-07-29 00:00:00","PARTO",""
"224","D8098","","","MAUTE","0","1995-09-06 00:00:00","PARTO","1997-09-15 00:00:00"
"1563","D8099","","","VACA PREÑADA","0","1995-02-25 00:00:00","PARTO","1997-12-15 00:00:00"
"14","D80990","","BARLOVENTO","VACA PROD.VACIA","0","1995-09-08 00:00:00","PARTO",""
"3803","D8100","","","MAUTA","0","1995-09-11 00:00:00","PARTO","1996-03-09 00:00:00"
"8539","D8101","","CARTAGENA","VACA PROD.VACIA","0","1995-09-12 00:00:00","PARTO",""
"6514","D8102","","","MAUTE","0","1995-09-13 00:00:00","PARTO","1999-03-08 00:00:00"
"2856","D8103","","CARBONERA","VACA VACIA","0","1995-09-13 00:00:00","PARTO",""
"579","D8104","","","BECERRO","0","1995-09-19 00:00:00","PARTO","1995-09-28 00:00:00"
"7635","D8105","","","MAUTE","0","1995-09-08 00:00:00","PARTO","1998-10-01 00:00:00"
"1566","D8106","","","MAUTE","0","1995-09-20 00:00:00","PARTO","1999-03-08 00:00:00"
"2804","D8107","","PEINETA","VACA PREÑADA","0","1995-04-04 00:00:00","PARTO",""
"8516","D8109","","SOMBRILLA","VACA VACIA SIN CRIA","0","1995-09-21 00:00:00","PARTO",""
"586","D8110","","MARIBEL","VACA PROD.VACIA","0","1995-09-21 00:00:00","PARTO",""
"2864","D8111","","","MAUTE","0","1995-09-22 00:00:00","PARTO","1999-03-08 00:00:00"
"2861","D8112","","","VACA PROD.VACIA","0","1995-09-25 00:00:00","PARTO",""
"2863","D8113","","NOCHE DE LUNA","VACA VACIA","0","1995-09-25 00:00:00","PARTO",""
"3813","D8114","","","MAUTE","0","1995-09-25 00:00:00","PARTO","1998-10-27 00:00:00"
"7013","D8115","","BUFALO","MAUTE","0","1995-09-06 00:00:00","PARTO","1998-04-05 00:00:00"
"8581","D8116","","","MAUTE","0","1995-09-26 00:00:00","PARTO","1999-03-08 00:00:00"
"3818","D8117","","","MAUTE","0","1995-09-27 00:00:00","PARTO","1998-10-01 00:00:00"
"3804","D8118","","","VACA PREÑADA","0","1995-09-07 00:00:00","PARTO","1999-03-17 00:00:00"
"2842","D8119","","","MAUTE","0","1995-09-28 00:00:00","PARTO",""
"8571","D8120","","","MAUTE","0","1995-10-02 00:00:00","PARTO",""
"536","D8121","","","MAUTE","0","1995-10-02 00:00:00","PARTO",""
"2871","D8122","","","MAUTE","0","1995-10-03 00:00:00","PARTO","1998-01-18 00:00:00"
"550","D8123","","","MAUTE","0","1995-10-03 00:00:00","PARTO","1999-03-08 00:00:00"
"3808","D8124","","","MAUTE","0","1995-10-04 00:00:00","PARTO","1998-10-27 00:00:00"
"9557","D8125","","POR SI ACASO","VACA PROD.VACIA","0","1995-10-04 00:00:00","PARTO","1999-03-17 00:00:00"
"3828","D8126","","CAREY","VACA VACIA","0","1995-10-06 00:00:00","PARTO",""
"418","D8127","","","MAUTE","0","1995-10-07 00:00:00","PARTO","1998-10-27 00:00:00"
"3810","D8128","","","VACA VACIA","0","1995-10-07 00:00:00","PARTO",""
"40","D8129","","","MAUTE","0","1995-10-08 00:00:00","PARTO","1998-10-01 00:00:00"
"2869","D8130","","VENAITA","VACA VACIA","0","1995-10-14 00:00:00","PARTO",""
"3822","D8131","","MAGALY","VACA PROD.VACIA","0","1995-10-14 00:00:00","PARTO",""
"3809","D8132","","ONOTERO","VACA PROD.VACIA","0","1995-10-15 00:00:00","PARTO",""
"3811","D8133","","RABO BLANCO","VACA PROD.VACIA","0","1995-10-18 00:00:00","PARTO",""
"6512","D8134","","","MAUTE","0","1995-10-26 00:00:00","PARTO","1997-12-08 00:00:00"
"1550","D8135","","","MAUTE","0","1995-10-26 00:00:00","PARTO","1999-03-08 00:00:00"
"76301","D8136","","","MAUTE","0","1995-10-26 00:00:00","PARTO","1998-10-30 00:00:00"
"1593","D8137","","","MAUTE","0","1995-10-29 00:00:00","PARTO","1999-03-08 00:00:00"
"8615","D8138","","","MAUTE","0","1995-10-29 00:00:00","PARTO","1998-01-18 00:00:00"
"113","D8139","","","MAUTE","0","1995-10-30 00:00:00","PARTO","1998-04-14 00:00:00"
"85341","D8140","","","MAUTE","0","1995-10-30 00:00:00","PARTO","1999-03-08 00:00:00"
"387","D8141","","BUENAMOZA","VACA PROD.VACIA","0","1995-10-31 00:00:00","PARTO",""
"8589","D8142","","","MAUTE","0","1995-10-30 00:00:00","PARTO",""
